Strain	Cluster_ID	Main_cluster	Sub_cluster	Clonal_complex
LD-05	0.1	0	1	"LD-05,MC-095,MC-047,MC-096"
MC-044	0.1	0	1	MC-044
MC-047	0.1	0	1	"LD-05,MC-095,MC-047,MC-096"
MC-059	0.1	0	1	"MC-266,MC-067,MC-059"
MC-067	0.1	0	1	"MC-266,MC-067,MC-059"
MC-095	0.1	0	1	"LD-05,MC-095,MC-047,MC-096"
MC-096	0.1	0	1	"LD-05,MC-095,MC-047,MC-096"
MC-239	0.1	0	1	MC-239
MC-266	0.1	0	1	"MC-266,MC-067,MC-059"
LD-27A	0.2	0	2	"LD-27B,LD-27A,MC-019"
LD-27B	0.2	0	2	"LD-27B,LD-27A,MC-019"
MC-011	0.2	0	2	"MC-241,MC-011,MC-250,MC-015"
MC-015	0.2	0	2	"MC-241,MC-011,MC-250,MC-015"
MC-019	0.2	0	2	"LD-27B,LD-27A,MC-019"
MC-214	0.2	0	2	"MC-233,MC-214"
MC-233	0.2	0	2	"MC-233,MC-214"
MC-241	0.2	0	2	"MC-241,MC-011,MC-250,MC-015"
MC-250	0.2	0	2	"MC-241,MC-011,MC-250,MC-015"
MM-17A	0.2	0	2	MM-17A
LD031000bp	0.3	0	3	LD031000bp
LD-08	0.3	0	3	LD-08
LD-21	0.3	0	3	LD-21
LD-45B	0.3	0	3	LD-45B
LD-52B	0.3	0	3	LD-52B
MM-01	0.3	0	3	MM-01
LD-28	0.4	0	4	"MC-255,MC-081,LD-28,MC-052"
MC-010	0.4	0	4	MC-010
MC-052	0.4	0	4	"MC-255,MC-081,LD-28,MC-052"
MC-066	0.4	0	4	"MC-094,MC-066"
MC-078	0.4	0	4	MC-078
MC-081	0.4	0	4	"MC-255,MC-081,LD-28,MC-052"
MC-094	0.4	0	4	"MC-094,MC-066"
MC-202	0.4	0	4	MC-202
MC-211	0.4	0	4	MC-211
MC-216	0.4	0	4	MC-216
MC-218	0.4	0	4	"MC-218,MC-221"
MC-226	0.4	0	4	MC-226
MC-228	0.4	0	4	MC-228
MC-235	0.4	0	4	MC-235
MC-255	0.4	0	4	"MC-255,MC-081,LD-28,MC-052"
MC-200	0.4	0	4	MC-200
MC-221	0.4	0	4	"MC-218,MC-221"
